(385.53968253968253, 756.49206349206349, 381L, 753L, 391L, 761L, 1.0)
(386.27272727272725, 658.5454545454545, 382L, 655L, 391L, 663L, 1.0)
(385.71428571428572, 853.73214285714289, 382L, 850L, 391L, 858L, 1.0)
(387.42622950819674, 367.52459016393442, 383L, 364L, 393L, 372L, 1.0)
(386.98000000000002, 561.24000000000001, 383L, 558L, 392L, 566L, 1.0)
(388.0169491525424, 270.64406779661016, 384L, 267L, 393L, 275L, 1.0)
(387.62745098039215, 464.1764705882353, 384L, 461L, 392L, 469L, 1.0)
(389.33333333333331, 78.5, 385L, 75L, 394L, 83L, 1.0)
(389.12068965517244, 174.15517241379311, 385L, 171L, 394L, 179L, 1.0)
(408.23809523809524, 829.61904761904759, 406L, 827L, 411L, 833L, 0.92580723762512207)
(409.04000000000002, 731.39999999999998, 407L, 729L, 412L, 735L, 0.91958600282669067)
(409.5, 780.27272727272725, 407L, 778L, 413L, 783L, 0.91018974781036377)
(409.0, 878.0, 407L, 876L, 412L, 881L, 0.9421800971031189)
(410.33333333333331, 536.85714285714289, 408L, 535L, 413L, 540L, 0.92994612455368042)
(410.38095238095241, 585.23809523809518, 408L, 583L, 414L, 588L, 0.92515033483505249)
(410.0, 634.0, 408L, 632L, 413L, 637L, 0.93192154169082642)
(410.0, 682.33333333333337, 408L, 681L, 413L, 685L, 0.89829254150390625)
(411.0, 343.0, 409L, 341L, 414L, 346L, 0.92972731590270996)
(411.11764705882354, 391.41176470588238, 409L, 390L, 414L, 394L, 0.92132073640823364)
(411.27272727272725, 439.18181818181819, 409L, 437L, 415L, 442L, 0.92422670125961304)
(410.77777777777777, 488.5, 409L, 487L, 414L, 491L, 0.90076196193695068)
(412.19999999999999, 150.5, 410L, 148L, 415L, 154L, 0.92243742942810059)
(412.25, 246.25, 410L, 244L, 415L, 249L, 0.92630922794342041)
(412.84210526315792, 54.157894736842103, 411L, 52L, 416L, 57L, 0.93303543329238892)
(413.0, 102.0, 411L, 100L, 416L, 105L, 0.93732869625091553)
(412.75, 197.75, 411L, 196L, 416L, 201L, 0.92469394207000732)
(412.80000000000001, 294.5, 411L, 292L, 416L, 298L, 0.87058055400848389)
(413.90909090909093, 6.9090909090909092, 412L, 5L, 417L, 10L, 0.92550063133239746)
(428.03389830508473, 707.4406779661017, 424L, 704L, 433L, 712L, 1.0)
(428.26315789473682, 804.85964912280701, 424L, 801L, 433L, 809L, 1.0)
(429.46774193548384, 512.4677419354839, 425L, 509L, 435L, 517L, 1.0)
(429.10000000000002, 609.48333333333335, 425L, 606L, 434L, 614L, 1.0)
(430.0, 415.5, 426L, 412L, 435L, 420L, 1.0)
(431.77049180327867, 125.54098360655738, 427L, 122L, 437L, 130L, 1.0)
(430.67924528301887, 318.62264150943395, 427L, 315L, 436L, 323L, 1.0)
(432.40677966101697, 30.728813559322035, 428L, 27L, 438L, 35L, 1.0)
(431.76923076923077, 221.38461538461539, 428L, 218L, 437L, 226L, 1.0)
(435.06779661016947, 658.33898305084745, 431L, 655L, 440L, 663L, 1.0)
(435.0, 756.37931034482756, 431L, 753L, 440L, 761L, 1.0)
(434.5, 854.0, 431L, 851L, 439L, 858L, 1.0)
(436.70967741935482, 464.38709677419354, 432L, 461L, 442L, 469L, 1.0)
(435.96610169491527, 561.4406779661017, 432L, 558L, 441L, 566L, 1.0)
(437.03508771929825, 367.43859649122805, 433L, 364L, 442L, 372L, 1.0)
(438.12727272727273, 173.98181818181817, 434L, 171L, 443L, 178L, 1.0)
(438.2962962962963, 270.05555555555554, 434L, 267L, 443L, 274L, 1.0)
(438.92592592592592, 78.037037037037038, 435L, 75L, 444L, 82L, 1.0)
(459.0, 828.70833333333337, 457L, 826L, 462L, 832L, 0.94050335884094238)
(458.89473684210526, 877.42105263157896, 457L, 876L, 462L, 880L, 0.90772521495819092)
(460.32142857142856, 633.67857142857144, 458L, 631L, 464L, 637L, 0.92452722787857056)
(459.78947368421052, 682.63157894736844, 458L, 681L, 463L, 686L, 0.92240697145462036)
(459.78947368421052, 731.63157894736844, 458L, 730L, 463L, 735L, 0.91411328315734863)
(460.0, 780.0, 458L, 778L, 463L, 783L, 0.93793976306915283)
(461.0, 246.0, 459L, 244L, 464L, 249L, 0.92833143472671509)
