(120.7090909090909, 41.296969696969697, 113L, 35L, 129L, 49L)
(120.1195652173913, 235.29347826086956, 113L, 228L, 128L, 244L)
(122.69322709163346, 120.48207171314741, 114L, 111L, 132L, 131L)
(121.01704545454545, 184.55113636363637, 114L, 177L, 129L, 193L)
(120.59090909090909, 411.38311688311688, 114L, 404L, 128L, 419L)
(120.19672131147541, 980.18852459016398, 114L, 974L, 127L, 987L)
(121.80124223602485, 321.45341614906835, 115L, 315L, 130L, 329L)
(123.61142857142858, 5.0228571428571431, 116L, 0L, 133L, 12L)
(121.75728155339806, 348.58252427184465, 116L, 343L, 128L, 355L)
(122.01515151515152, 381.34848484848487, 116L, 375L, 129L, 389L)
(124.42, 57.533333333333331, 117L, 51L, 132L, 65L)
(123.51633986928104, 580.281045751634, 117L, 573L, 131L, 588L)
(123.30666666666667, 610.67999999999995, 117L, 604L, 131L, 618L)
(123.68852459016394, 205.01639344262296, 118L, 199L, 131L, 212L)
(125.56, 519.20000000000005, 119L, 513L, 133L, 527L)
(125.88888888888889, 548.82539682539687, 120L, 543L, 133L, 556L)
(129.07971014492753, 88.065217391304344, 123L, 82L, 137L, 95L)
(130.94318181818181, 458.73863636363637, 124L, 452L, 139L, 467L)
(142.31622176591375, 309.72073921971253, 125L, 298L, 157L, 325L)
(132.0654761904762, 398.6904761904762, 125L, 391L, 140L, 407L)
(131.38738738738738, 251.06306306306305, 126L, 245L, 138L, 258L)
(132.5, 367.90163934426232, 127L, 362L, 139L, 375L)
(134.52352941176471, 334.34117647058821, 128L, 327L, 143L, 343L)
(133.75912408759123, 430.44525547445255, 128L, 424L, 141L, 438L)
(136.60829493087559, 132.72350230414747, 129L, 124L, 146L, 142L)
(139.55518394648828, 101.56187290969899, 130L, 91L, 150L, 114L)
(137.61538461538461, 895.04437869822482, 130L, 882L, 147L, 909L)
(136.70503597122303, 942.23021582733816, 130L, 936L, 144L, 950L)
(141.20797720797719, 755.80056980056975, 131L, 741L, 153L, 772L)
(138.24761904761905, 868.21428571428567, 131L, 859L, 146L, 878L)
(140.36879432624113, 922.86170212765956, 131L, 914L, 150L, 933L)
(137.09482758620689, 972.43965517241384, 131L, 967L, 144L, 979L)
(138.36799999999999, 211.91200000000001, 133L, 206L, 145L, 219L)
(141.16129032258064, 277.94009216589859, 133L, 270L, 150L, 287L)
(139.45652173913044, 731.58695652173913, 133L, 723L, 147L, 741L)
(140.81553398058253, 823.742718446602, 133L, 816L, 149L, 833L)
(150.57012195121951, 994.30487804878044, 133L, 986L, 172L, 1000L)
(144.22262773722628, 694.92335766423355, 134L, 683L, 155L, 708L)
(139.65891472868216, 790.63565891472865, 134L, 784L, 147L, 798L)
(139.39153439153438, 844.41269841269843, 134L, 835L, 146L, 854L)
(144.65463917525773, 40.103092783505154, 136L, 33L, 154L, 48L)
(140.96153846153845, 180.23076923076923, 136L, 175L, 147L, 187L)
(141.85064935064935, 614.98051948051943, 136L, 608L, 149L, 623L)
(146.02941176470588, 663.08529411764709, 136L, 649L, 156L, 677L)
(142.0344827586207, 806.81379310344823, 136L, 800L, 149L, 815L)
(141.66999999999999, 956.51999999999998, 136L, 951L, 148L, 963L)
(143.0735294117647, 13.683823529411764, 137L, 8L, 151L, 21L)
(144.54494382022472, 66.522471910112358, 137L, 60L, 153L, 75L)
(146.3991935483871, 346.48790322580646, 138L, 336L, 155L, 357L)
(150.76442307692307, 487.15625, 138L, 474L, 165L, 503L)
(145.20886075949366, 251.58860759493672, 139L, 244L, 153L, 260L)
(150.39871382636656, 513.6077170418007, 139L, 504L, 162L, 524L)
(144.61467889908258, 588.29357798165142, 139L, 583L, 151L, 595L)
(144.57391304347826, 776.26086956521738, 139L, 770L, 151L, 783L)
(147.18897637795277, 716.95275590551182, 141L, 711L, 154L, 724L)
(148.47712418300654, 222.09803921568627, 142L, 215L, 156L, 230L)
(147.54455445544554, 424.86138613861385, 142L, 420L, 154L, 431L)
(149.0718232044199, 462.82320441988952, 142L, 455L, 157L, 472L)
(150.32388663967612, 630.75708502024293, 142L, 622L, 160L, 641L)
(152.75471698113208, 570.79874213836479, 146L, 564L, 161L, 579L)
(160.1572327044025, 132.51257861635222, 147L, 122L, 173L, 144L)
(153.66923076923078, 188.1846153846154, 147L, 182L, 161L, 195L)
(152.0, 377.0, 147L, 372L, 158L, 383L)
(152.81553398058253, 406.14563106796118, 147L, 401L, 159L, 412L)
(152.76470588235293, 437.56862745098039, 147L, 432L, 159L, 444L)
(152.9485294117647, 600.44117647058829, 147L, 594L, 160L, 608L)
(154.1145038167939, 540.41221374045801, 148L, 534L, 161L, 548L)
(155.23622047244095, 85.28346456692914, 150L, 79L, 162L, 93L)
(159.87947882736157, 102.85667752442997, 150L, 92L, 171L, 115L)
(160.02762430939225, 968.54696132596689, 152L, 961L, 169L, 978L)
(158.66346153846155, 69.47115384615384, 153L, 64L, 165L, 76L)
(160.37404580152671, 450.16793893129773, 154L, 444L, 168L, 457L)
(164.01976284584981, 327.49011857707512, 155L, 320L, 175L, 336L)
(161.1869918699187, 388.00813008130081, 155L, 382L, 168L, 395L)
(161.28571428571428, 418.20952380952383, 156L, 413L, 168L, 425L)
(162.47619047619048, 941.57142857142856, 156L, 934L, 170L, 950L)
(162.93377483443709, 158.53642384105962, 157L, 152L, 170L, 166L)
(162.99333333333334, 356.90666666666669, 157L, 350L, 171L, 365L)
(195.44234800838575, 883.0803633822502, 158L, 835L, 231L, 928L)
(165.07438016528926, 11.900826446280991, 159L, 6L, 172L, 19L)
(164.44, 199.91, 159L, 195L, 171L, 206L)
(167.76815642458101, 883.08659217877096, 160L, 869L, 177L, 899L)
(170.64888888888888, 239.01777777777778, 162L, 231L, 181L, 247L)
(169.17029972752044, 833.31198910081741, 162L, 801L, 177L, 866L)
(172.77516778523491, 686.73154362416108, 163L, 675L, 184L, 700L)
(172.5873015873016, 714.93333333333328, 163L, 703L, 183L, 728L)
(172.0063492063492, 743.62539682539682, 163L, 731L, 183L, 759L)
(170.07932692307693, 780.05048076923072, 163L, 760L, 179L, 799L)
(175.34512022630835, 641.64073550212163, 164L, 614L, 188L, 669L)
(171.53521126760563, 63.119718309859152, 165L, 57L, 179L, 71L)
(170.955223880597, 299.8955223880597, 165L, 294L, 178L, 307L)
(172.49519230769232, 574.35576923076928, 165L, 565L, 180L, 584L)
(176.00301204819277, 597.93975903614455, 165L, 585L, 189L, 612L)
(172.23333333333332, 32.56666666666667, 166L, 27L, 179L, 39L)
(171.90977443609023, 269.90977443609023, 166L, 264L, 179L, 277L)
(175.28451882845189, 513.15062761506272, 167L, 503L, 184L, 525L)
(175.11290322580646, 210.31451612903226, 169L, 204L, 182L, 217L)
(176.30597014925374, 482.8544776119403, 169L, 472L, 185L, 494L)
(177.71818181818182, 452.57727272727271, 171L, 443L, 185L, 464L)
(186.59569892473118, 97.683870967741939, 172L, 80L, 202L, 118L)
(183.77722772277227, 154.26237623762376, 172L, 143L, 196L, 167L)
(182.59285714285716, 182.78571428571428, 173L, 173L, 193L, 193L)
(181.41871921182266, 533.86206896551721, 173L, 526L, 191L, 543L)
(185.61744966442953, 126.6744966442953, 174L, 115L, 197L, 141L)
(181.6046511627907, 937.8604651162791, 175L, 930L, 189L, 947L)
(181.54054054054055, 428.03603603603602, 176L, 422L, 188L, 435L)
(181.88505747126436, 387.0, 177L, 382L, 188L, 393L)
(182.828125, 561.234375, 177L, 555L, 190L, 568L)
(184.17687074829931, 72.993197278911566, 178L, 66L, 192L, 81L)
(194.93176470588236, 350.42588235294119, 178L, 341L, 215L, 362L)
(186.9704641350211, 39.611814345991561, 179L, 30L, 196L, 50L)
(190.67277486910996, 10.109947643979057, 180L, 0L, 205L, 24L)
(185.28089887640451, 293.89887640449439, 180L, 289L, 191L, 300L)
(186.0, 501.5, 180L, 495L, 193L, 509L)
(188.57051282051282, 249.03205128205127, 181L, 243L, 197L, 256L)
(189.04787234042553, 985.72340425531911, 181L, 978L, 198L, 994L)
(188.25409836065575, 471.95081967213116, 182L, 466L, 195L, 479L)
(189.28099173553719, 409.50413223140498, 184L, 403L, 196L, 417L)
(189.03960396039605, 442.76237623762376, 184L, 437L, 195L, 449L)
(192.49006622516555, 216.80132450331126, 186L, 210L, 200L, 225L)
(191.81132075471697, 378.43396226415092, 186L, 373L, 198L, 385L)
(192.89954337899545, 952.30136986301375, 186L, 944L, 202L, 962L)
(193.88172043010752, 919.63978494623655, 187L, 912L, 202L, 928L)
(198.96174863387978, 840.54644808743171, 189L, 829L, 211L, 853L)
(199.9402390438247, 53.322709163346616, 190L, 45L, 211L, 63L)
(196.61403508771929, 817.17105263157896, 190L, 807L, 204L, 828L)
(199.35016835016836, 767.41414141414145, 191L, 756L, 209L, 781L)
(202.25082508250824, 706.17821782178214, 192L, 695L, 213L, 718L)
(201.02121212121213, 738.16363636363633, 192L, 724L, 212L, 754L)
(204.98734177215189, 647.53797468354435, 193L, 637L, 218L, 660L)
(201.97204968944101, 679.46273291925468, 193L, 666L, 213L, 694L)
(200.28346456692913, 291.24409448818898, 194L, 285L, 207L, 298L)
(205.54882154882154, 324.53535353535352, 194L, 314L, 217L, 337L)
(204.54802259887006, 620.62429378531078, 194L, 608L, 217L, 636L)
(199.87323943661971, 792.83802816901414, 194L, 786L, 207L, 801L)
(201.90338164251207, 536.51690821256034, 195L, 528L, 209L, 547L)
(201.38532110091742, 261.44954128440367, 196L, 256L, 208L, 268L)
(202.72800000000001, 230.47999999999999, 197L, 224L, 210L, 238L)
(205.39344262295083, 136.41803278688525, 198L, 127L, 214L, 146L)
(205.24725274725276, 171.30219780219781, 198L, 164L, 214L, 179L)
(204.69230769230768, 200.61538461538461, 198L, 194L, 212L, 208L)
(206.86627906976744, 560.47674418604652, 198L, 547L, 219L, 576L)
(206.80397727272728, 590.01988636363637, 198L, 577L, 218L, 606L)
(207.5185185185185, 100.62345679012346, 200L, 94L, 216L, 109L)
(205.26530612244898, 990.61224489795916, 200L, 983L, 212L, 999L)
(208.45374449339207, 21.889867841409693, 201L, 13L, 217L, 32L)
(206.6260162601626, 364.86178861788619, 201L, 359L, 214L, 372L)
(206.52671755725191, 509.1145038167939, 201L, 502L, 213L, 517L)
(207.09322033898306, 961.65254237288138, 201L, 956L, 214L, 968L)
(208.09836065573771, 393.17213114754099, 202L, 387L, 215L, 400L)
(206.71287128712871, 480.8217821782178, 202L, 475L, 213L, 487L)
(208.08080808080808, 450.92929292929296, 203L, 446L, 214L, 457L)
(210.2560975609756, 898.2439024390244, 203L, 891L, 218L, 906L)
(209.33653846153845, 421.52884615384613, 204L, 416L, 216L, 428L)
(216.24556213017752, 76.695266272189343, 206L, 67L, 228L, 88L)
(213.625, 523.375, 207L, 517L, 221L, 531L)
(214.79354838709676, 922.56774193548392, 208L, 915L, 222L, 931L)
(216.5595238095238, 150.9345238095238, 209L, 144L, 225L, 159L)
(216.98076923076923, 114.52884615384616, 210L, 105L, 225L, 125L)
(215.69918699186991, 492.96747967479672, 210L, 487L, 223L, 500L)
(218.3153153153153, 3.4864864864864864, 211L, 0L, 226L, 10L)
(217.57142857142858, 56.942857142857143, 211L, 51L, 225L, 64L)
(217.47445255474452, 272.63503649635038, 211L, 267L, 225L, 280L)
(216.36893203883494, 980.4174757281553, 211L, 975L, 223L, 987L)
(217.28070175438597, 463.85964912280701, 212L, 458L, 224L, 471L)
(218.5593220338983, 949.22033898305085, 213L, 943L, 225L, 956L)
(220.66666666666666, 370.67391304347825, 214L, 364L, 228L, 378L)
(219.27619047619046, 401.63809523809522, 214L, 396L, 225L, 408L)
(219.05050505050505, 432.5151515151515, 214L, 427L, 225L, 439L)
(220.28155339805826, 210.53398058252426, 215L, 205L, 226L, 217L)
(221.47445255474452, 881.38686131386862, 215L, 875L, 229L, 889L)
(236.63047285464097, 350.19264448336253, 217L, 333L, 257L, 370L)
(231.13411078717201, 699.21865889212825, 219L, 686L, 245L, 714L)
(226.94444444444446, 807.05808080808083, 219L, 792L, 237L, 824L)
(225.9880239520958, 906.29341317365265, 219L, 899L, 234L, 914L)
(225.71428571428572, 995.8901098901099, 220L, 991L, 234L, 1000L)
(226.82539682539684, 967.88888888888891, 221L, 962L, 234L, 975L)
(230.30635838150289, 44.121387283236992, 222L, 37L, 239L, 52L)
(233.15406976744185, 612.85174418604652, 222L, 599L, 246L, 628L)
(233.31089743589743, 639.3012820512821, 222L, 627L, 246L, 652L)
(232.25159235668789, 669.39171974522299, 222L, 658L, 244L, 683L)
(229.90526315789472, 756.65263157894742, 222L, 749L, 238L, 765L)
(229.89510489510491, 312.64335664335664, 223L, 306L, 237L, 320L)
(234.42296918767508, 582.55742296918766, 223L, 570L, 247L, 597L)
(231.14285714285714, 726.11822660098517, 223L, 718L, 240L, 735L)
(228.64583333333334, 867.0, 223L, 862L, 235L, 873L)
(230.1720430107527, 932.9086021505376, 223L, 925L, 238L, 942L)
(230.13675213675214, 783.86324786324781, 224L, 778L, 237L, 791L)
(231.04918032786884, 14.254098360655737, 225L, 8L, 238L, 21L)
(230.37614678899084, 252.651376146789, 225L, 247L, 237L, 259L)
(230.9655172413793, 282.85344827586209, 225L, 277L, 238L, 290L)
(231.5, 223.5, 226L, 218L, 238L, 230L)
(232.91414141414143, 526.08080808080808, 226L, 517L, 240L, 536L)
(232.55172413793105, 191.31034482758622, 227L, 185L, 239L, 198L)
(236.34593023255815, 552.18023255813955, 227L, 538L, 248L, 568L)
(233.5, 889.5, 228L, 883L, 240L, 897L)
(234.50442477876106, 161.05309734513276, 229L, 155L, 241L, 168L)
(234.94186046511629, 986.01162790697674, 230L, 981L, 241L, 992L)
(241.09880239520959, 72.431137724550894, 231L, 61L, 253L, 84L)
(236.69, 378.29500000000002, 231L, 369L, 243L, 389L)
(237.5, 412.5, 232L, 407L, 244L, 419L)
(237.13888888888889, 442.98148148148147, 232L, 437L, 243L, 450L)
(237.26262626262627, 952.91919191919192, 232L, 948L, 243L, 959L)
